skill_key,name,tree,tier,cost,prereq_raw,matched_prereq_keys,chain,is_active,source_label,description
mercenary_pilfer_tier_0_stealth,Pilfer (TIER 0 Stealth),Mercenary,0,50,None,,Pilfer → Stealth → Misdirection,True,Railbound Skill Guide v4 p16,"You are now able to redirect attention, perform sleight-of-hand tricks, pickpocket, and plant. ● This is a non-combat only skill. ● Please consult the GM about any situational modifiers affecting you."
mercenary_stealth_tier_1_stealth,Stealth (TIER 1 Stealth),Mercenary,1,265,Pilfer,mercenary_pilfer_tier_0_stealth,Pilfer → Stealth → Misdirection,True,Railbound Skill Guide v4 p17,"You are now skilled enough to hide, sneak, and set ambushes. ● This is a non-combat only skill. ● Stealth is broken if you are detected or if you attack or defend if combat has begun. ● Please consult the GM about any situational modifiers affecting you."
mercenary_misdirection_tier_2_stealth,Misdirection (TIER 2 Stealth),Mercenary,2,475,Stealth,mercenary_stealth_tier_1_stealth,Pilfer → Stealth → Misdirection,True,Railbound Skill Guide v4 p17,"You are now skilled enough to perform stealth actions while in combat. You are able to hide, sneak, ambush, and steal. ● Dropping into stealth during combat costs 1 AP if successful. ● Every aggressive action during combat thereafter costs an additional 1 AP. ○ This includes attacks, backstabs, planting, initiating a trap, etc. ● You CANNOT use this skill to steal things directly out of an enemy’s hands. ● You CANNOT use this skill while you are directly engaged (needing to clash) or restrained. ● You CANNOT use this skill when in a fight by yourself unless using a magical assist. ● Please consult the GM about any situational modifiers affecting you. ● Attacking or defending in combat will BREAK STEALTH for the rest of the fight. ○ This is ONLY for the hidden OC, and does not include stealthed OCs whose companions or animals are acting. ○ Some spells are capable of augmenting stealth or can be used without breaking stealth. This is at GM discretion. These spells do NOT gain ambush bonuses unless narratively sensible. ● AMBUSH BONUSES: ○ When ambushing an enemy from stealth who cannot detect you, they will ALWAYS only be capable of partial reactions even if their Reaction Score would normally beat your attack speed. ○ Instead of clashing at 70% power, if they can still perform a partial reaction, they will clash at 50% power. Character Skills"
mercenary_riding_and_harness_driving,Riding & Harness Driving,Mercenary,0,50,None,,None,True,Railbound Skill Guide v4 p18,"You are able to use mounts, and drive carts and carriages. You are also able to use any tool or vehicle requiring a yoke or harness. Rough terrain or other challenges are likely to require classical mounts. ● You are able to ride as a passenger without this skill. This skill is required to drive."
mercenary_pilot,Pilot,Mercenary,1,100,None,,None,True,Railbound Skill Guide v4 p18,"You are able to pilot basic vehicles, including unpowered boats, motorbikes, and simple vehicles. ● You are able to ride as a passenger without this skill. This skill is required to drive. ● Complex steam-based vehicles REQUIRE Steam Engines skill. ● Aerial vehicles REQUIRE Gasworks skill."
mercenary_magic_tool_use,Magic Tool Use,Mercenary,0,50,None,,None,True,Railbound Skill Guide v4 p18,You are able to focus mana to activate enchanted tools. ● Mages with Mana Circuits get this skill for free. ● Anyone with Magic Background gets this skill for free.
mercenary_pacing,Pacing,Mercenary,1,300,None,,None,True,Railbound Skill Guide v4 p19,You are able to focus more on the job at hand. ● Permanent +1 AP in all scenes.
mercenary_quartermastery,Quartermastery,Mercenary,1,300,None,,None,True,Railbound Skill Guide v4 p19,"With experience, you’ve learned how to better manage your pack. ● Permanent +2 CC in all scenes."
mercenary_adept,Adept,Mercenary,2,350,At least 4 Combat OR Class Skills,,Adept → Operative → Veteran,True,Railbound Skill Guide v4 p19,"Unlocking Adept is a show of skill, meaning you are no longer a green recruit. ● This skill unlocks greater action economy. ○ +1 Action ○ +1 Reaction"
mercenary_operative,Operative,Mercenary,3,875,"At least 6 Combat OR Class, +2 Knowledge",,Adept → Operative → Veteran,True,Railbound Skill Guide v4 p19,"Unlocking Operative requires you to be a fully fledged, dependable mercenary. ● This skill unlocks greater action economy. ○ +1 Action ○ +1 Reaction ○ +1 Bonus Action ○ +1 Free Action"
